comment,tokenized_comment,comment_without_stopword,stopword,translated_tokenized_comment,translated_comment_without_stopword,translated_stopword,pos_tagged_tokenized_comment,pos_tagged_comment_without_stopword,pos_tagged_stopword
চরিত্রটাও এভাবে সুন্দর করা উচিত,"['চরিত্রটাও', 'এভাবে', 'সুন্দর', 'করা', 'উচিত']","['চরিত্রটাও', 'সুন্দর', 'করা', 'উচিত']",['এভাবে'],"['Character', 'Thus', 'Beautiful', 'Do', 'Exhaust']","['Character', 'Beautiful', 'Do', 'Exhaust']",['Thus'],"['NNP', 'NNP', 'NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP', 'NNP']",['RB']
ভদ্রলোকদের চেহারা ব্লার করে দিলে হতো না,"['ভদ্রলোকদের', 'চেহারা', 'ব্লার', 'করে', 'দিলে', 'হতো', 'না']","['ভদ্রলোকদের', 'চেহারা', 'ব্লার', 'করে', 'দিলে', 'হতো']",['না'],"['Gentleman', 'Appearance', 'Blur', 'By', 'Give', 'Were', 'Not']","['Gentleman', 'Appearance', 'Blur', 'By', 'Give', 'Were']",['Not'],"['NNP', 'NNP', 'NNP', 'IN', 'NNP', 'NNP', 'RB']","['NNP', 'NNP', 'NNP', 'IN', 'NNP', 'NNP']",['RB']
ইফতারের পরে কমেন্ট পড়তে আসব। এখন বাই।,"['ইফতারের', 'পরে', 'কমেন্ট', 'পড়তে', 'আসব', 'এখন', 'বাই']","['ইফতারের', 'পরে', 'কমেন্ট', 'পড়তে', 'আসব', 'এখন', 'বাই']",[],"['Iftar', 'After', 'Comment', 'Read', 'Asb', 'Now', 'Bay']","['Iftar', 'After', 'Comment', 'Read', 'Asb', 'Now', 'Bay']",[],"['NN', 'IN', 'NNP', 'NNP', 'NNP', 'RB', 'NNP']","['NN', 'IN', 'NNP', 'NNP', 'NNP', 'RB', 'NNP']",[]
সাব্বাস       দেখো বা,"['সাব্বাস', 'দেখো', 'বা']","['সাব্বাস', 'বা']",['দেখো'],"['Bolt', 'See', 'Or']","['Bolt', 'Or']",['See'],"['NNP', 'NNP', 'CC']","['NNP', 'CC']",['VB']
মানবিক উদ্যোগ। আল্লাহ সর্বোত্তম প্রতিদান দিক।,"['মানবিক', 'উদ্যোগ', 'আল্লাহ', 'সর্বোত্তম', 'প্রতিদান', 'দিক']","['মানবিক', 'উদ্যোগ', 'আল্লাহ', 'সর্বোত্তম', 'প্রতিদান', 'দিক']",[],"['Humanitarian', 'Initiative', 'Allah', 'Best', 'Repayment', 'Direction']","['Humanitarian', 'Initiative', 'Allah', 'Best', 'Repayment', 'Direction']",[],"['JJ', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP']","['JJ', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP']",[]
ইনশাআল্লাহ সাথে থাকব।,"['ইনশাআল্লাহ', 'সাথে', 'থাকব']","['ইনশাআল্লাহ', 'থাকব']",['সাথে'],"['Insha Allah', 'With', 'Stay']","['Insha Allah', 'Stay']",['With'],"['NN', 'IN', 'NNP']","['NNP', 'NNP']",['IN']
আলহামদুলিল্লাহ ভাল উদ্যেগ ধন্যবাদ আপনাকে।,"['আলহামদুলিল্লাহ', 'ভাল', 'উদ্যেগ', 'ধন্যবাদ', 'আপনাকে']","['আলহামদুলিল্লাহ', 'ভাল', 'উদ্যেগ', 'ধন্যবাদ']",['আপনাকে'],"['Alhamdulillah', 'Good', 'Initiative', 'Thank you', 'You']","['Alhamdulillah', 'Good', 'Initiative', 'Thank you']",['You'],"['RB', 'JJ', 'NNP', 'NNP', 'PRP']","['RB', 'JJ', 'NNP', 'NNP']",['PRP']
মুলা লাংগা তাউয়ে।। কেও বুঝবেনা কি বলছি ,"['মুলা', 'লাংগা', 'তাউয়ে', 'কেও', 'বুঝবেনা', 'কি', 'বলছি']","['মুলা', 'লাংগা', 'তাউয়ে', 'কেও', 'বুঝবেনা', 'বলছি']",['কি'],"['Mula', 'Pile', 'Tawa', 'Ko', 'Understand', 'What', 'Guys']","['Mula', 'Pile', 'Tawa', 'Ko', 'Understand', 'Guys']",['What'],"['NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'WP', 'NNP']","['NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP']",['WP']
বাদুড়,['বাদুড়'],['বাদুড়'],[],['Batter'],['Batter'],[],['NN'],['NN'],[]
শুভ নববর্ষ,"['শুভ', 'নববর্ষ']","['শুভ', 'নববর্ষ']",[],"['Auspicious', 'New Year']","['Auspicious', 'New Year']",[],"['JJ', 'NNP']","['JJ', 'NNP']",[]
আল্লাহ সবাইকে হেদায়েত নসীব করুন!,"['আল্লাহ', 'সবাইকে', 'হেদায়েত', 'নসীব', 'করুন']","['আল্লাহ', 'সবাইকে', 'হেদায়েত', 'নসীব', 'করুন']",[],"['Allah', 'All', 'Guidance', 'Nasib', 'Do']","['Allah', 'All', 'Guidance', 'Nasib', 'Do']",[],"['NNP', 'DT', 'NNP', 'NNP', 'VBP']","['NNP', 'DT', 'NNP', 'NNP', 'VBP']",[]
ওখানেই থেকে যাও পাগলা,"['ওখানেই', 'থেকে', 'যাও', 'পাগলা']","['যাও', 'পাগলা']","['থেকে', 'ওখানেই']","['There', 'From', 'In', 'Crazy']","['In', 'Crazy']","['From', 'There']","['EX', 'NNP', 'IN', 'NNP']","['IN', 'NNP']","['IN', 'EX']"
আলম ভাই সুপার হিট ছবি,"['আলম', 'ভাই', 'সুপার', 'হিট', 'ছবি']","['আলম', 'সুপার', 'হিট', 'ছবি']",['ভাই'],"['Elasticity', 'Brother', 'Superintendent', 'Hits', 'Picture']","['Elasticity', 'Superintendent', 'Hits', 'Picture']",['Brother'],"['NNP', 'NNP', 'NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'VBZ', 'NN']",['NN']
ভাইরে দাতঁগুলা মাশাল্লাহ্,"['ভাইরে', 'দাতঁগুলা', 'মাশাল্লাহ্']","['ভাইরে', 'দাতঁগুলা', 'মাশাল্লাহ্']",[],"['Bride', 'Toothache', 'Mashal']","['Bride', 'Toothache', 'Mashal']",[],"['NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP']",[]
অ ইয়েচ,"['অ', 'ইয়েচ']","['অ', 'ইয়েচ']",[],"['Non', 'Yacht']","['Non', 'Yacht']",[],"['NNP', 'NNP']","['NNP', 'NNP']",[]
কোয়ান্টম মেথড এর সঠিকতা সম্পর্কে কিছু বলবেন।,"['কোয়ান্টম', 'মেথড', 'এর', 'সঠিকতা', 'সম্পর্কে', 'কিছু', 'বলবেন']","['কোয়ান্টম', 'মেথড', 'এর', 'সঠিকতা', 'সম্পর্কে', 'বলবেন']",['কিছু'],"['Quantom', 'Method', 'Of', 'Accuracy', 'About', 'Something', 'Say']","['Quantom', 'Method', 'Of', 'Accuracy', 'About', 'Say']",['Something'],"['NNP', 'NNP', 'IN', 'NNP', 'IN', 'NNP', 'NNP']","['NNP', 'NNP', 'IN', 'NNP', 'IN', 'NNP']",['VBG']
অনেক সুন্দর । ,"['অনেক', 'সুন্দর']","['অনেক', 'সুন্দর']",[],"['Many', 'Beautiful']","['Many', 'Beautiful']",[],"['JJ', 'NNP']","['JJ', 'NNP']",[]
মাশ'আল্লাহ অনেক সুন্দর কথা প্রিয় হুজুর <3,"['মাশ', 'আল্লাহ', 'অনেক', 'সুন্দর', 'কথা', 'প্রিয়', 'হুজুর']","['মাশ', 'আল্লাহ', 'প্রিয়', 'হুজুর']","['অনেক', 'সুন্দর', 'কথা']","['Mango', 'Allah', 'Many', 'Beautiful', 'Talk', 'Beloved', 'Guru']","['Mango', 'Allah', 'Beloved', 'Guru']","['Many', 'Beautiful', 'Talk']","['NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP', 'NNP']","['JJ', 'NNP', 'NN']"
অসাধারন সময়োপযোগী লেখনী,"['অসাধারন', 'সময়োপযোগী', 'লেখনী']","['অসাধারন', 'সময়োপযোগী', 'লেখনী']",[],"['Awesome', 'Timely', 'Stylus']","['Awesome', 'Timely', 'Stylus']",[],"['NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP']",[]
ধন্যবাদ হীরো আলম।,"['ধন্যবাদ', 'হীরো', 'আলম']","['হীরো', 'আলম']",['ধন্যবাদ'],"['Thank you', 'Diamond', 'Elasticity']","['Diamond', 'Elasticity']",['Thank you'],"['NNP', 'NNP', 'NNP']","['NNP', 'NNP']",['NN']
আপু আমাকে দিবেন না,"['আপু', 'আমাকে', 'দিবেন', 'না']","['আপু', 'দিবেন', 'না']",['আমাকে'],"['Apocalyptic', 'Me', 'Pay', 'Not']","['Apocalyptic', 'Pay', 'Not']",['Me'],"['JJ', 'NNP', 'NNP', 'RB']","['JJ', 'NNP', 'RB']",['NN']
গুড লাক ব্রো,"['গুড', 'লাক', 'ব্রো']","['গুড', 'লাক']",['ব্রো'],"['Good', 'Lac', 'Bro']","['Good', 'Lac']",['Bro'],"['JJ', 'NNP', 'NNP']","['JJ', 'NNP']",['NN']
আল্লাহ আপনাকে হেদায়েত দিক আমিন।,"['আল্লাহ', 'আপনাকে', 'হেদায়েত', 'দিক', 'আমিন']","['আল্লাহ', 'আপনাকে', 'হেদায়েত', 'দিক', 'আমিন']",[],"['Allah', 'You', 'Guidance', 'Direction', 'Amin']","['Allah', 'You', 'Guidance', 'Direction', 'Amin']",[],"['NNP', 'PRP', 'NNP', 'NNP', 'NNP']","['NNP', 'PRP', 'NNP', 'NNP', 'NNP']",[]
আরেকটু শুকনা হলে আরও ভালো লাগতো,"['আরেকটু', 'শুকনা', 'হলে', 'আরও', 'ভালো', 'লাগতো']","['আরেকটু', 'শুকনা', 'হলে', 'ভালো', 'লাগতো']",['আরও'],"['More', 'Dry', 'In', 'More', 'Good', 'Seem']","['More', 'Dry', 'In', 'Good', 'Seem']",['More'],"['RBR', 'NNP', 'IN', 'NNP', 'NNP', 'NNP']","['RBR', 'NNP', 'IN', 'NNP', 'NNP']",['RBR']
তাহলে এটাই প্রমান হলো ব্যারিষ্টার সুমন ঠিক।,"['তাহলে', 'এটাই', 'প্রমান', 'হলো', 'ব্যারিষ্টার', 'সুমন', 'ঠিক']","['এটাই', 'প্রমান', 'হলো', 'ব্যারিষ্টার', 'সুমন', 'ঠিক']",['তাহলে'],"['In', 'It', 'Prove', 'Is', 'Barrister', 'Squeeze', 'Right']","['It', 'Prove', 'Is', 'Barrister', 'Squeeze', 'Right']",['In'],"['IN', 'PRP', 'NNP', 'VBZ', 'NNP', 'NNP', 'NNP']","['PRP', 'NNP', 'VBZ', 'NNP', 'NNP', 'NNP']",['IN']
স্যার ঈদ মোবারক,"['স্যার', 'ঈদ', 'মোবারক']","['স্যার', 'ঈদ', 'মোবারক']",[],"['Sir', 'Eid', 'Mob']","['Sir', 'Eid', 'Mob']",[],"['NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP']",[]
সুন্দর উত্তর দিয়েছে,"['সুন্দর', 'উত্তর', 'দিয়েছে']","['উত্তর', 'সুন্দর']",['দিয়েছে'],"['Beautiful', 'Answer', 'Give']","['Answer', 'Beautiful']",['Give'],"['NNP', 'NNP', 'NNP']","['NNP', 'NNP']",['VB']
দেখে ফেলেছি,"['দেখে', 'ফেলেছি']","['দেখে', 'ফেলেছি']",[],"['Seeing', 'Left']","['Seeing', 'Left']",[],"['VBG', 'VBD']","['VBG', 'VBD']",[]
বাংলাদেশের  নতুন পতিতা ।,"['বাংলাদেশের', 'নতুন', 'পতিতা']","['বাংলাদেশের', 'পতিতা']",['নতুন'],"['Bangladesh', 'New', 'Prostitute']","['Bangladesh', 'Prostitute']",['New'],"['NNP', 'NNP', 'NNP']","['NNP', 'NNP']",['NNP']
সুন্দর সুন্দর,"['সুন্দর', 'সুন্দর']",[],"['সুন্দর', 'সুন্দর']","['Beautiful', 'Beautiful']",[],"['Beautiful', 'Beautiful']","['JJ', 'NNP']",[],"['JJ', 'NNP']"
সাকিব,['সাকিব'],['সাকিব'],[],['Shakib'],['Shakib'],[],['NN'],['NN'],[]
ও বন্ধু লাল গোলাপী,"['ও', 'বন্ধু', 'লাল', 'গোলাপী']","['ও', 'লাল', 'গোলাপী']",['বন্ধু'],"['O', 'Friend', 'Reddish', 'Pink']","['O', 'Reddish', 'Pink']",['Friend'],"['NNP', 'NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP']",['NN']
মাখন,['মাখন'],['মাখন'],[],['Butter'],['Butter'],[],['NN'],['NN'],[]
ইন শা আল্লাহ  অপেক্ষায় রইলাম শায়খ,"['ইন', 'শা', 'আল্লাহ', 'অপেক্ষায়', 'রইলাম', 'শায়খ']","['ইন', 'শা', 'আল্লাহ', 'অপেক্ষায়', 'রইলাম', 'শায়খ']",[],"['In', 'Shir', 'Allah', 'Waiting', 'Linen', 'Shaykh']","['In', 'Shir', 'Allah', 'Waiting', 'Linen', 'Shaykh']",[],"['IN', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP']","['IN', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP']",[]
ঈদ মোবারক ,"['ঈদ', 'মোবারক']","['ঈদ', 'মোবারক']",[],"['Eid', 'Mob']","['Eid', 'Mob']",[],"['NNP', 'NNP']","['NNP', 'NNP']",[]
ঈদ উল ফিতরের শুভেচ্ছা ঈদ মোবারক,"['ঈদ', 'উল', 'ফিতরের', 'শুভেচ্ছা', 'ঈদ', 'মোবারক']","['ঈদ', 'উল', 'ফিতরের', 'শুভেচ্ছা', 'ঈদ', 'মোবারক']",[],"['Eid', 'Wool', 'Fitr', 'Greeting', 'Eid', 'Mob']","['Eid', 'Wool', 'Fitr', 'Greeting', 'Eid', 'Mob']",[],"['NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP']",[]
সেহেরি খাইছেন!,"['সেহেরি', 'খাইছেন']","['সেহেরি', 'খাইছেন']",[],"['Sehri', 'Eat']","['Sehri', 'Eat']",[],"['NNP', 'NNP']","['NNP', 'NNP']",[]
ভালোবাসার আরেক নাম মিজানুর রহমান আযহারী,"['ভালোবাসার', 'আরেক', 'নাম', 'মিজানুর', 'রহমান', 'আযহারী']","['ভালোবাসার', 'আরেক', 'নাম', 'মিজানুর', 'রহমান', 'আযহারী']",[],"['Love', 'Another', 'Name', 'Mizanur', 'Rahman', 'Azhari']","['Love', 'Another', 'Name', 'Mizanur', 'Rahman', 'Azhari']",[],"['VB', 'DT', 'NN', 'NNP', 'NNP', 'NNP']","['VB', 'DT', 'NN', 'NNP', 'NNP', 'NNP']",[]
ভাল উদ্যোগ,"['ভাল', 'উদ্যোগ']","['ভাল', 'উদ্যোগ']",[],"['Good', 'Initiative']","['Good', 'Initiative']",[],"['JJ', 'NN']","['JJ', 'NN']",[]
আগেই বলেছি শিরোনাম পাল্টে যাবে ,"['আগেই', 'বলেছি', 'শিরোনাম', 'পাল্টে', 'যাবে']","['আগেই', 'বলেছি', 'শিরোনাম', 'পাল্টে', 'যাবে']",[],"['Before', 'Stated', 'Title', 'In turn', 'Go']","['Before', 'Stated', 'Title', 'In turn', 'Go']",[],"['IN', 'NNP', 'NNP', 'NNP', 'NNP']","['IN', 'NNP', 'NNP', 'NNP', 'NNP']",[]
ঐ ভালো লাগছে,"['ঐ', 'ভালো', 'লাগছে']","['ভালো', 'লাগছে']",['ঐ'],"['3', 'Good', 'Look']","['Good', 'Look']",['3'],"['CD', 'JJ', 'NN']","['JJ', 'NN']",['CD']
মাশাল্লাহ!!শুভকামনা ,"['মাশাল্লাহ', 'শুভকামনা']","['মাশাল্লাহ', 'শুভকামনা']",[],"['Mashal', 'Good luck']","['Mashal', 'Good luck']",[],"['NNP', 'NNP']","['NNP', 'NNP']",[]
শুধু হুয়াওয়ে অন্য ফোন নয়,"['শুধু', 'হুয়াওয়ে', 'অন্য', 'ফোন', 'নয়']","['হুয়াওয়ে', 'অন্য', 'ফোন', 'নয়']",['শুধু'],"['Only', 'Huawei', 'Another', 'Phone', 'Nine']","['Huawei', 'Another', 'Phone', 'Nine']",['Only'],"['RB', 'NNP', 'DT', 'NNP', 'NNP']","['NNP', 'DT', 'NNP', 'NNP']",['RB']
জাযাকাল্লাহ,['জাযাকাল্লাহ'],['জাযাকাল্লাহ'],[],['Jazakallah'],['Jazakallah'],[],['NN'],['NN'],[]
আমাকে দেখা যায়,"['আমাকে', 'দেখা', 'যায়']","['আমাকে', 'দেখা', 'যায়']",[],"['Me', 'See', 'Go']","['Me', 'See', 'Go']",[],"['NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP']",[]
"আগুন!!! """"""""""""""""""""",['আগুন'],['আগুন'],[],['Fire'],['Fire'],[],['NN'],['NN'],[]
ভালোবাসা অবিরাম ক্যাপ্টেন,"['ভালোবাসা', 'অবিরাম', 'ক্যাপ্টেন']","['ভালোবাসা', 'অবিরাম', 'ক্যাপ্টেন']",[],"['Love', 'Endless', 'Captain']","['Love', 'Endless', 'Captain']",[],"['NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP']",[]
বাংগালীদের আলোচনার নতুন টপিক।,"['বাংগালীদের', 'আলোচনার', 'নতুন', 'টপিক']","['বাংগালীদের', 'আলোচনার', 'টপিক']",['নতুন'],"['Bengali', 'Discuss', 'New', 'Topic']","['Bengali', 'Discuss', 'Topic']",['New'],"['NNP', 'NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP']",['NNP']
টিক আছে বোন এগিয়ে যাও,"['টিক', 'আছে', 'বোন', 'এগিয়ে', 'যাও']","['এগিয়ে', 'যাও']","['টিক', 'আছে', 'বোন']","['Tick', 'There is', 'Sister', 'Forward', 'In']","['Forward', 'In']","['Tick', 'There is', 'Sister']","['NNP', 'NNP', 'NNP', 'NNP', 'IN']","['RB', 'IN']","['NNP', 'NNP', 'NNP']"
বাপকা বেটি ,"['বাপকা', 'বেটি']","['বাপকা', 'বেটি']",[],"['Father', 'Bite']","['Father', 'Bite']",[],"['NNP', 'NNP']","['NNP', 'NNP']",[]
বাবু খাইছো দুপুরে,"['বাবু', 'খাইছো', 'দুপুরে']","['বাবু', 'খাইছো']",['দুপুরে'],"['Man', 'Eat', 'At noon']","['Man', 'Eat']",['At noon'],"['NNP', 'NNP', 'NNP']","['NN', 'NNP']",['NN']
তুমি সবার চাইতে রূপসী ,"['তুমি', 'সবার', 'চাইতে', 'রূপসী']","['সবার', 'চাইতে', 'রূপসী']",['তুমি'],"['You', 'Everyone', 'To', 'Silver']","['Everyone', 'To', 'Silver']",['You'],"['PRP', 'VBP', 'TO', 'VB']","['NN', 'TO', 'VB']",['PRP']
মাসঅালাহ্,['মাসঅালাহ্'],['মাসঅালাহ্'],[],['Monthly'],['Monthly'],[],['JJ'],['JJ'],[]
খুবই ভালো উদ্যোগ শ্রদ্ধা আপনাদের প্রতি।,"['খুবই', 'ভালো', 'উদ্যোগ', 'শ্রদ্ধা', 'আপনাদের', 'প্রতি']","['ভালো', 'উদ্যোগ', 'শ্রদ্ধা', 'আপনাদের', 'প্রতি']",['খুবই'],"['Very', 'Good', 'Initiative', 'Respect', 'Yours', 'Toward']","['Good', 'Initiative', 'Respect', 'Yours', 'Toward']",['Very'],"['RB', 'JJ', 'NNP', 'NNP', 'NNP', 'NNP']","['JJ', 'NNP', 'NNP', 'NNP', 'NNP']",['RB']
অভিনন্দন আপনাকে,"['অভিনন্দন', 'আপনাকে']","['অভিনন্দন', 'আপনাকে']",[],"['Congratulations', 'You']","['Congratulations', 'You']",[],"['NNS', 'PRP']","['NNS', 'PRP']",[]
মহামূল্যবান খবর!  বিবিসিতে লাইভ দেখাচ্ছে ,"['মহামূল্যবান', 'খবর', 'বিবিসিতে', 'লাইভ', 'দেখাচ্ছে']","['মহামূল্যবান', 'খবর', 'বিবিসিতে', 'লাইভ', 'দেখাচ্ছে']",[],"['Precious', 'News', 'In the BBC', 'Live', 'Showing']","['Precious', 'News', 'In the BBC', 'Live', 'Showing']",[],"['JJ', 'NNP', 'NNP', 'NNP', 'VBG']","['JJ', 'NNP', 'NNP', 'NNP', 'VBG']",[]
বাজে মেয়ে,"['বাজে', 'মেয়ে']","['বাজে', 'মেয়ে']",[],"['Bad', 'Girl']","['Bad', 'Girl']",[],"['NNP', 'NNP']","['NNP', 'NNP']",[]
বেস্ট ক্যাপশন এভার,"['বেস্ট', 'ক্যাপশন', 'এভার']","['বেস্ট', 'ক্যাপশন', 'এভার']",[],"['Best', 'Caption', 'Ever']","['Best', 'Caption', 'Ever']",[],"['JJS', 'NN', 'NN']","['JJS', 'NN', 'NN']",[]
স্যার কে ঈশ্বর তার মঙ্গল করুন ,"['স্যার', 'কে', 'ঈশ্বর', 'তার', 'মঙ্গল', 'করুন']","['স্যার', 'কে', 'ঈশ্বর', 'তার', 'মঙ্গল', 'করুন']",[],"['Sir', 'Who', 'God', 'Herself', 'Goodness', 'Do']","['Sir', 'Who', 'God', 'Herself', 'Goodness', 'Do']",[],"['NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'VBP']","['NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'VBP']",[]
আল্লাহ আপনাকে উত্তম মর্যাদা দান করুন।,"['আল্লাহ', 'আপনাকে', 'উত্তম', 'মর্যাদা', 'দান', 'করুন']","['আল্লাহ', 'আপনাকে', 'উত্তম', 'মর্যাদা', 'দান', 'করুন']",[],"['Allah', 'You', 'Good', 'Dignity', 'Donation', 'Do']","['Allah', 'You', 'Good', 'Dignity', 'Donation', 'Do']",[],"['NNP', 'PRP', 'JJ', 'NNP', 'NNP', 'NNP']","['NNP', 'PRP', 'JJ', 'NNP', 'NNP', 'NNP']",[]
বইন দেখা তো যায়না!! কেমনে কি,"['বইন', 'দেখা', 'তো', 'যায়না', 'কেমনে', 'কি']","['বইন', 'দেখা', 'তো', 'যায়না', 'কেমনে']",['কি'],"['Beef', 'See', 'There', 'No', 'Howly', 'What']","['Beef', 'See', 'There', 'No', 'Howly']",['What'],"['NNP', 'NNP', 'EX', 'NNP', 'NNP', 'WP']","['NNP', 'NNP', 'EX', 'NNP', 'NNP']",['WP']
ধন্যবাদ ক্যাপ্টেন ,"['ধন্যবাদ', 'ক্যাপ্টেন']","['ধন্যবাদ', 'ক্যাপ্টেন']",[],"['Thank you', 'Captain']","['Thank you', 'Captain']",[],"['NNP', 'NNP']","['NNP', 'NNP']",[]
লাভ ইউ ভাই,"['লাভ', 'ইউ', 'ভাই']","['লাভ', 'ইউ']",['ভাই'],"['Profit', 'U', 'Brother']","['Profit', 'U']",['Brother'],"['NN', 'NNP', 'NNP']","['NN', 'NN']",['NN']
অপেক্ষা করছি লাইভ দেখার জন্য,"['অপেক্ষা', 'করছি', 'লাইভ', 'দেখার', 'জন্য']","['অপেক্ষা', 'করছি', 'লাইভ', 'দেখার', 'জন্য']",[],"['Waiting', 'Doing', 'Live', 'Seeing', 'For']","['Waiting', 'Doing', 'Live', 'Seeing', 'For']",[],"['VBG', 'VBG', 'JJ', 'VBG', 'IN']","['VBG', 'VBG', 'JJ', 'VBG', 'IN']",[]
ভালো থাক ঘরে থাক,"['ভালো', 'থাক', 'ঘরে', 'থাক']","['ভালো', 'থাক', 'ঘরে', 'থাক']",[],"['Good', 'Stay', 'House', 'Stay']","['Good', 'Stay', 'House', 'Stay']",[],"['JJ', 'NNP', 'NNP', 'NNP']","['JJ', 'NNP', 'NNP', 'NNP']",[]
ভালবাসা অবিরাম ,"['ভালবাসা', 'অবিরাম']","['ভালবাসা', 'অবিরাম']",[],"['Love', 'Endless']","['Love', 'Endless']",[],"['NNP', 'NNP']","['NNP', 'NNP']",[]
রহমান স্যার,"['রহমান', 'স্যার']","['রহমান', 'স্যার']",[],"['Rahman', 'Sir']","['Rahman', 'Sir']",[],"['NNP', 'NNP']","['NNP', 'NNP']",[]
তোকে আল্লাহ যেনো হেদায়েত দেয়,"['তোকে', 'আল্লাহ', 'যেনো', 'হেদায়েত', 'দেয়']","['তোকে', 'আল্লাহ', 'যেনো', 'হেদায়েত', 'দেয়']",[],"['You', 'Allah', 'Like', 'Guidance', 'Pay']","['You', 'Allah', 'Like', 'Guidance', 'Pay']",[],"['PRP', 'VBP', 'IN', 'NNP', 'NNP']","['PRP', 'VBP', 'IN', 'NNP', 'NNP']",[]
সত্যিই অসম্ভব কাজ  আপনার দ্বারাই সম্ভব ,"['সত্যিই', 'অসম্ভব', 'কাজ', 'আপনার', 'দ্বারাই', 'সম্ভব']","['অসম্ভব', 'কাজ', 'আপনার', 'দ্বারাই', 'সম্ভব']",['সত্যিই'],"['Truly', 'Impossible', 'Work', 'Yours', 'By', 'Possible']","['Impossible', 'Work', 'Yours', 'By', 'Possible']",['Truly'],"['NNP', 'JJ', 'NNP', 'NNP', 'IN', 'NNP']","['JJ', 'NN', 'NNS', 'IN', 'JJ']",['RB']
তামাশা ;),['তামাশা'],['তামাশা'],[],['Joke'],['Joke'],[],['NN'],['NN'],[]
অ্যান্টি কি খবরএটা কোন নাটকের,"['অ্যান্টি', 'কি', 'খবরএটা', 'কোন', 'নাটকের']","['অ্যান্টি', 'খবরএটা', 'কোন', 'নাটকের']",['কি'],"['Anti', 'What', 'News', 'Any', 'Play']","['Anti', 'News', 'Any', 'Play']",['What'],"['NNP', 'WP', 'NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP', 'NNP']",['WP']
শুভেচ্ছা দিয়া কি বাল ছিরুম,"['শুভেচ্ছা', 'দিয়া', 'কি', 'বাল', 'ছিরুম']","['শুভেচ্ছা', 'দিয়া', 'বাল', 'ছিরুম']",['কি'],"['Greeting', 'With', 'What', 'Bull', 'Scandal']","['Greeting', 'With', 'Bull', 'Scandal']",['What'],"['VBG', 'IN', 'WP', 'NNP', 'NNP']","['VBG', 'IN', 'NNP', 'NNP']",['WP']
এতো সুন্দর কি একটা মেয় হয়,"['এতো', 'সুন্দর', 'কি', 'একটা', 'মেয়', 'হয়']","['এতো', 'সুন্দর', 'একটা', 'মেয়']","['কি', 'হয়']","['So', 'Beautiful', 'What', 'One', 'Girl', 'Is']","['So', 'Beautiful', 'One', 'Girl']","['What', 'Is']","['RB', 'JJ', 'WP', 'CD', 'NNP', 'VBZ']","['RB', 'JJ', 'CD', 'NN']","['WP', 'VBZ']"
এটা আগেই দেখেছি আবার দেখলাম সুন্দর,"['এটা', 'আগেই', 'দেখেছি', 'আবার', 'দেখলাম', 'সুন্দর']","['আগেই', 'দেখেছি', 'আবার', 'দেখলাম']","['এটা', 'সুন্দর']","['It', 'Before', 'See', 'Again', 'See', 'Beautiful']","['Before', 'See', 'Again', 'See']","['It', 'Beautiful']","['PRP', 'IN', 'NNP', 'NNP', 'NNP', 'NNP']","['IN', 'NNP', 'NNP', 'VB']","['PRP', 'NNP']"
আলম ভাইয়ের কথা ঠিক,"['আলম', 'ভাইয়ের', 'কথা', 'ঠিক']","['আলম', 'ভাইয়ের', 'কথা', 'ঠিক']",[],"['Elasticity', 'Brother', 'Talk', 'Right']","['Elasticity', 'Brother', 'Talk', 'Right']",[],"['NNP', 'NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP', 'NNP']",[]
আল্লাহ রহম কারুন। আমিন,"['আল্লাহ', 'রহম', 'কারুন', 'আমিন']","['আল্লাহ', 'রহম', 'কারুন', 'আমিন']",[],"['Allah', 'Mercy', 'Tone', 'Amin']","['Allah', 'Mercy', 'Tone', 'Amin']",[],"['NNP', 'NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP', 'NNP']",[]
